#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495831097436428133	parsec.dedup	1	1800	34	1.1	.506	.605	563140110	5565229	1618872	122886684	1905462	242767835	27575	51938	3413116	52764152	131367395	152123816	9753006
1495831097946534450	parsec.dedup	1	1800	35	1.1	1.140	1.366	881548811	9003064	2606109	189346119	3058250	367420711	45310	83519	5349115	79030778	199098551	235959478	15320890
1495831098456506455	parsec.dedup	1	1800	35	1.1	1.145	1.371	887197975	8932811	2596105	197463907	3061025	391550539	45281	82350	5295664	83272488	204799772	238518315	15081621
1495831098967118351	parsec.dedup	1	1800	36	1.1	1.153	1.382	744133679	3463475	1858825	127304924	2161852	202394566	13916	63538	2110646	57847972	215116622	179266717	17355302
1495831099477426127	parsec.dedup	1	1800	36	1.1	1.044	1.252	746430566	3511552	1891710	128162086	2176421	203719246	14041	64008	2309215	58528596	233322465	196949003	17293978
1495831099987978314	parsec.dedup	1	1800	36	1.1	1.027	1.231	746127310	3497735	1905902	128328968	2178239	204002443	14008	32703	3031284	76398508	404102257	275820783	12131833
1495831100498704527	parsec.dedup	1	1800	37	1.1	1.154	1.384	870689719	3494160	2191982	202443530	3068184	329295808	35946	18550	3018937	84237935	446870039	292856117	9518485
1495831101008165156	parsec.dedup	1	1800	37	1.1	1.209	1.448	901137587	2163059	1173555	401113541	1592998	1095974204	16165	15877	3707484	96082272	417321060	286374850	8077091
1495831101517736557	parsec.dedup	1	1800	37	1.2	1.394	1.672	901127183	1771362	912013	433772831	1231041	1162046325	11836	16276	3927313	89763569	434032906	300689862	8769439
1495831102027063537	parsec.dedup	1	1800	38	1.2	1.399	1.679	901230780	1963810	888993	441355150	1194913	1210517691	10493	19628	2688103	84061631	437065427	290412610	9589002
1495831102536357017	parsec.dedup	1	1800	38	1.2	1.414	1.697	901169795	1635003	752407	421448284	963564	1284689012	8683	19046	2529517	85166517	437603770	289621783	9152289
1495831103045714237	parsec.dedup	1	1800	38	1.2	1.413	1.696	901214564	2100777	952040	426899830	1650146	1221057906	11334	18081	2446759	85336651	443242004	290411017	9237495
1495831103554946189	parsec.dedup	1	1800	38	1.2	1.417	1.700	901190645	1901445	885764	441399758	1874837	1233823451	10356	22344	2952204	70883555	468187205	303380457	10457393
1495831104064403894	parsec.dedup	1	1800	39	1.2	1.446	1.735	901213165	2210319	991157	435575661	2162288	1178678737	11577	37226	4642209	83233951	391503377	289499405	14641757
1495831104573727959	parsec.dedup	1	1800	39	1.2	1.399	1.678	901211647	2367818	1082554	465359479	2472996	1210613515	12885	43600	5252465	92825818	347346758	279065540	16010475
1495831105083021795	parsec.dedup	1	1800	39	1.2	1.333	1.599	901238269	3409052	1653256	414847447	3684957	921615485	19424	43492	5329020	93096535	346747513	280180954	15976882
1495831105592405552	parsec.dedup	1	1800	39	1.2	1.357	1.628	901197429	4143011	2064732	348725925	4149631	663851593	24187	42125	5322773	93524265	352637759	281469523	16221766
1495831106101801160	parsec.dedup	1	1800	39	1.1	1.303	1.562	901275221	4160166	2059993	345235167	4151845	658710005	24528	44613	5350268	92365703	338819181	278013188	15735521
1495831106611221795	parsec.dedup	1	1800	39	1.1	1.298	1.556	901240672	4103561	2001576	352339632	4130971	671821304	23585	43556	5213787	91241958	342569709	276675895	16234648
1495831107120654339	parsec.dedup	1	1800	39	1.2	1.303	1.563	901140223	4205695	2073295	340658414	4130533	651591024	24728	45034	5097631	89592649	334280884	272506355	16170012
1495831107630045578	parsec.dedup	1	1800	39	1.1	1.295	1.553	901147417	4147805	2054680	343451645	4284946	652078712	24422	45164	5115920	89482521	332931850	272481563	16114372
1495831108139567868	parsec.dedup	1	1800	39	1.1	1.291	1.548	901136727	4186027	2086618	336135867	4554218	635255931	24985	43106	5213885	90538376	344436916	276633612	16481745
1495831108649026750	parsec.dedup	1	1800	39	1.1	1.293	1.550	901134050	4194831	2087109	336595898	4566955	635181288	24955	43739	5490903	92510282	340122324	279189792	15683748
1495831109158520513	parsec.dedup	1	1800	39	1.1	1.293	1.550	901135607	4181129	2065458	341103425	4502653	642429402	24336	43419	5336860	91232794	341906534	277723324	16201897
1495831109668055556	parsec.dedup	1	1800	39	1.2	1.305	1.565	901120603	4230495	2076809	339533274	4198337	649939009	24414	38316	6810614	114032597	333259782	292844241	14006880
1495831110177427415	parsec.dedup	1	1800	39	1.1	1.294	1.551	901155792	4183887	2042665	342603634	4350446	648451719	24089	41746	6135248	101752883	340470878	287614663	14780590
1495831110686911701	parsec.dedup	1	1800	39	1.1	1.297	1.555	901264670	3862108	1880695	338541199	3487285	685380155	22142	38398	7152659	123107029	303990523	286466674	12127403
1495831111196246029	parsec.dedup	1	1800	39	1.2	1.311	1.572	901139062	3947429	1939356	333075179	3422882	685883188	23154	40776	6845292	128144056	291197693	278776889	10813627
1495831111705762658	parsec.dedup	1	1800	39	1.2	1.283	1.539	901155802	3690167	1824872	318295662	2758377	696136182	21748	38116	7616969	118061692	282778860	283651749	12418796
1495831112215169953	parsec.dedup	1	1800	39	1.1	1.289	1.545	901116342	4135260	2079509	291001068	2553166	671820308	24516	41541	7052607	122360706	289548637	278353270	10826811
1495831112724440008	parsec.dedup	1	1800	39	1.1	1.265	1.517	901129824	4551781	2315119	278208087	2837437	627682927	24674	38732	7050955	122084834	282856531	275521768	11510740
1495831113233849893	parsec.dedup	1	1800	39	1.2	1.264	1.517	901112253	4222986	2131926	288623650	2629296	657343246	24938	40412	7066853	130865462	292789938	283516032	10476860
1495831113743291913	parsec.dedup	1	1800	39	1.1	1.263	1.514	901139782	4247026	2159207	287075108	2632219	663190846	24425	39426	7233066	127265700	288799024	282370141	11162342
1495831114252779448	parsec.dedup	1	1800	39	1.2	1.268	1.522	901150930	4112773	2056134	290050616	2542997	670484148	24142	39307	7182944	129680723	291273386	280844166	10740447
1495831114762077787	parsec.dedup	1	1800	39	1.2	1.270	1.524	901181582	3777403	1900436	293154208	2355001	691897721	22751	39944	7246032	126839108	289426157	283504683	10775922
