#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495799541911182792	parsec.dedup	1	1800	31	1.100000	0.469000	0.560000	545522980	5565229	1618872	122886684	1905462	242767835	27575
1495799542421250667	parsec.dedup	1	1800	32	1.100000	1.126000	1.348000	861434859	9003064	2606109	189346119	3058250	367420711	45310
1495799542931347334	parsec.dedup	1	1800	33	1.100000	1.129000	1.352000	873278984	8932811	2596105	197463907	3061025	391550539	45281
1495799543442541950	parsec.dedup	1	1800	33	1.100000	1.145000	1.371000	587130297	3463475	1858825	127304924	2161852	202394566	13916
1495799543953822950	parsec.dedup	1	1800	33	1.100000	0.929000	1.112000	591682208	3511552	1891710	128162086	2176421	203719246	14041
1495799544465044691	parsec.dedup	1	1800	34	1.100000	0.919000	1.100000	590951896	3497735	1905902	128328968	2178239	204002443	14008
1495799544976871941	parsec.dedup	1	1800	34	1.100000	0.926000	1.108000	840252983	3494160	2191982	202443530	3068184	329295808	35946
1495799545486611063	parsec.dedup	1	1800	34	1.100000	1.025000	1.226000	901182096	2163059	1173555	401113541	1592998	1095974204	16165
1495799545996638648	parsec.dedup	1	1800	35	1.200000	1.408000	1.689000	901155910	1771362	912013	433772831	1231041	1162046325	11836
1495799546505730347	parsec.dedup	1	1800	36	1.200000	1.383000	1.659000	901164445	1963810	888993	441355150	1194913	1210517691	10493
1495799547014970965	parsec.dedup	1	1800	36	1.200000	1.434000	1.720000	901125406	1635003	752407	421448284	963564	1284689012	8683
1495799547524345436	parsec.dedup	1	1800	36	1.200000	1.430000	1.716000	901213598	2100777	952040	426899830	1650146	1221057906	11334
1495799548033555955	parsec.dedup	1	1800	36	1.200000	1.428000	1.713000	901141576	1901445	885764	441399758	1874837	1233823451	10356
1495799548542988981	parsec.dedup	1	1800	37	1.200000	1.451000	1.741000	901177955	2210319	991157	435575661	2162288	1178678737	11577
1495799549052099142	parsec.dedup	1	1800	37	1.200000	1.415000	1.698000	901182465	2367818	1082554	465359479	2472996	1210613515	12885
1495799549561212179	parsec.dedup	1	1800	37	1.200000	1.380000	1.656000	901134784	3409052	1653256	414847447	3684957	921615485	19424
1495799550070534351	parsec.dedup	1	1800	37	1.200000	1.428000	1.713000	901161847	4143011	2064732	348725925	4149631	663851593	24187
1495799550580063890	parsec.dedup	1	1800	37	1.100000	1.307000	1.565000	901302488	4160166	2059993	345235167	4151845	658710005	24528
1495799551089448775	parsec.dedup	1	1800	37	1.100000	1.314000	1.574000	901262215	4103561	2001576	352339632	4130971	671821304	23585
1495799551598821645	parsec.dedup	1	1800	37	1.200000	1.320000	1.584000	901145211	4205695	2073295	340658414	4130533	651591024	24728
1495799552108203822	parsec.dedup	1	1800	37	1.100000	1.309000	1.568000	901167655	4147805	2054680	343451645	4284946	652078712	24422
1495799552617741475	parsec.dedup	1	1800	37	1.100000	1.306000	1.564000	901146915	4186027	2086618	336135867	4554218	635255931	24985
1495799553127246480	parsec.dedup	1	1800	37	1.100000	1.302000	1.559000	901153655	4194831	2087109	336595898	4566955	635181288	24955
1495799553636681454	parsec.dedup	1	1800	37	1.100000	1.301000	1.558000	901134614	4181129	2065458	341103425	4502653	642429402	24336
1495799554146121281	parsec.dedup	1	1800	37	1.200000	1.313000	1.575000	901142616	4230495	2076809	339533274	4198337	649939009	24414
1495799554655483781	parsec.dedup	1	1800	37	1.100000	1.312000	1.571000	901192920	4183887	2042665	342603634	4350446	648451719	24089
1495799555164988092	parsec.dedup	1	1800	37	1.100000	1.314000	1.574000	901414441	3862108	1880695	338541199	3487285	685380155	22142
