#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211425377521413	automotive_bitcount	1	2000	48	1.300000	0.684000	0.904000	618151953	0	251073	74536	59355	93218664	88574
1481211425886335219	automotive_bitcount	1	2000	49	1.300000	1.645000	2.182000	1001609792	0	42302	17154	9654	115727477	18122
1481211426395124357	automotive_bitcount	1	2000	50	1.300000	1.640000	2.176000	1001272504	0	43467	18870	9583	134877023	17897
1481211426903775020	automotive_bitcount	1	2000	51	1.300000	1.636000	2.169000	1001311463	0	43544	18806	9371	134621756	18465
1481211427412546265	automotive_bitcount	1	2000	51	1.300000	1.623000	2.152000	1001502118	0	40495	18379	9651	92920018	18130
1481211427921109074	automotive_bitcount	1	2000	51	1.300000	1.610000	2.134000	1001425704	0	43404	19134	9609	135353503	18968
1481211428429753675	automotive_bitcount	1	2000	52	1.300000	1.600000	2.121000	1001302076	0	41561	18330	8849	134701265	18750
1481211428938433085	automotive_bitcount	1	2000	52	1.300000	1.596000	2.116000	1001309285	0	43993	19434	9461	102777640	18878
1481211429447285788	automotive_bitcount	1	2000	52	1.300000	1.604000	2.126000	1001309648	0	42410	18618	9352	125442551	18270
1481211429955963965	automotive_bitcount	1	2000	52	1.300000	1.612000	2.137000	1001304007	0	45272	19800	9844	134720024	18470
1481211430464590856	automotive_bitcount	1	2000	52	1.300000	1.609000	2.135000	1001322178	0	41531	18118	9082	132884255	18080
1481211430973250548	automotive_bitcount	1	2000	52	1.300000	1.613000	2.140000	1001300128	0	43850	18983	9535	94917058	18900
1481211431481959747	automotive_bitcount	1	2000	53	1.300000	1.640000	2.176000	1001302097	0	43735	19192	9568	135155967	18992
1481211431990657619	automotive_bitcount	1	2000	53	1.300000	1.615000	2.141000	1001378296	0	44259	19717	9568	134689777	18440
1481211432499207377	automotive_bitcount	1	2000	53	1.300000	1.607000	2.132000	1001303804	0	42381	19380	9162	96811052	18338
1481211433007881303	automotive_bitcount	1	2000	53	1.300000	1.605000	2.128000	1001307912	0	43848	19051	9293	131417750	18661
1481211433516521824	automotive_bitcount	1	2000	53	1.300000	1.609000	2.133000	1001303245	0	42215	18965	9232	134709914	18715
1481211434025147808	automotive_bitcount	1	2000	53	1.300000	1.616000	2.142000	1001309100	0	45294	19565	9840	123065496	18471
1481211434533872044	automotive_bitcount	1	2000	53	1.300000	1.613000	2.138000	1001348708	0	42689	18786	9583	104795821	17979
1481211435042536664	automotive_bitcount	1	2000	53	1.300000	1.615000	2.143000	1001160510	0	44342	19619	9542	134906155	18067
1481211435551210743	automotive_bitcount	1	2000	53	1.300000	1.630000	2.161000	1001169199	0	43485	18766	9340	134686378	19216
1481211436059866415	automotive_bitcount	1	2000	53	1.300000	1.619000	2.146000	1001163638	0	44420	18593	9206	92813397	18530
1481211436568603333	automotive_bitcount	1	2000	53	1.300000	1.609000	2.133000	1001160222	0	43289	18645	9320	135460674	18546
1481211437077275806	automotive_bitcount	1	2000	54	1.300000	1.607000	2.130000	1001167488	0	45448	19053	9410	134717675	19001
1481211437585994395	automotive_bitcount	1	2000	54	1.300000	1.612000	2.137000	1001157344	0	43282	17884	9051	111632721	18789
1481211438094630210	automotive_bitcount	1	2000	54	1.300000	1.619000	2.146000	1001163786	0	46003	19621	9949	116443011	18633
1481211438603367886	automotive_bitcount	1	2000	54	1.300000	1.614000	2.140000	1001158899	0	45046	19250	9579	134842251	18580
1481211439112016915	automotive_bitcount	1	2000	54	1.300000	1.650000	2.187000	1001159921	0	44918	18910	9449	134657889	18617
1481211439620723427	automotive_bitcount	1	2000	54	1.300000	1.630000	2.161000	949008282	0	66615	26426	15036	93472129	25350
1481211440130100205	automotive_qsort1	1	2000	53	1.300000	1.619000	2.146000	716756026	0	454037	163220	804935	248993750	226238
1481211440639296422	automotive_qsort1	1	2000	54	1.300000	1.571000	2.083000	1001207121	0	202140	99774	1057285	357446674	165714
1481211441148421831	automotive_qsort1	1	2000	54	1.300000	1.757000	2.331000	1001190910	0	204345	103995	1115084	354916104	163981
1481211441657417799	automotive_qsort1	1	2000	54	1.300000	1.761000	2.336000	1001198440	0	188878	103133	1129862	354627978	164034
