#Timestamp	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495813497265448492	320600178	3507722	1013441	82230042	1226250	164712977	17586
1495813497766317930	500901943	5796853	1674037	120182500	1977036	231485682	29211
1495813498266932994	500616176	5755849	1693602	121964391	1990084	238721497	29196
1495813498767673682	500739892	5658841	1655531	124401772	1950105	246649323	28711
1495813499268366870	500686218	5574831	1623163	126942774	1931313	256472394	28154
1495813499769108351	500739575	3874937	1845646	137378821	2319475	222094973	25591
1495813500269858206	500765208	2895423	2118183	151536744	2532557	218335101	23418
1495813500770523436	500660385	2445538	1481388	136163878	2144432	215244498	18482
1495813501271182166	500662764	2371687	1440826	151274401	2231081	260096939	25373
1495813501771806979	500627070	1490691	807291	233575864	1075355	589921255	11077
1495813502272434251	500627857	1510336	803504	237196903	1135252	599539912	11008
1495813502773050648	500609243	920752	446836	261412289	594868	713189418	5214
1495813503273818086	500771745	975261	466679	266349222	686657	726887791	5282
1495813503774453650	500635908	1200806	540078	251562863	686519	691372669	6330
1495813504275127047	500677176	1118820	503988	252629426	654051	689452071	5722
1495813504775757110	500630739	1161060	541134	249757839	793377	715406670	6241
1495813505276380215	500625627	1234237	566686	258206764	1015812	697420938	6316
1495813505777004320	500622320	1281541	590403	255634551	1162819	690624496	6778
1495813506277701509	500697970	1242825	576850	250740710	1154843	694643683	6800
1495813506778325906	500624973	1377877	612455	250308449	1421539	673896304	7261
1495813507279021303	500698323	1183756	549396	258462516	1149416	699621873	6389
1495813507779667074	500642889	1205468	560002	250146550	1214461	694216678	6492
1495813508280304679	500640218	1544510	718505	279073770	1704460	702331800	8441
1495813508780927618	500623525	1986456	953386	248938218	2127653	567689488	11162
1495813509281552307	500623941	2355245	1190034	209447178	2462069	398101052	14139
1495813509782183037	500630949	2423146	1221150	206253105	2470786	392820926	14397
1495813510282813642	500631369	2423664	1225384	204163823	2468201	389833321	14617
1495813510783437747	500623660	2387389	1206900	207000744	2466124	394946918	14298
1495813511284116977	500680331	2398464	1189594	209232695	2470529	398448488	14140
1495813511784740499	500624715	2460061	1217751	205279416	2461586	392201255	14261
