#Timestamp	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495865289523286455	321229590	30769	2066699	33570023	82397495	93246615	5845572
1495865290024338810	501138496	51293	3310182	47390562	120491624	143427254	9427029
1495865290525136206	500805593	50916	3279618	48651563	122153134	144073337	9340798
1495865291025848395	500710516	50306	3257247	50239668	124236870	144975981	9262922
1495865291526555541	500711794	49335	3265874	52850326	127514607	146711482	9133411
1495865292027339355	500767217	48084	2128285	42072447	137040866	128048117	11077898
1495865292528179460	500864687	46644	1583471	39481525	151076332	121514350	12456209
1495865293029012356	500823847	36728	1412814	38961463	135680096	120730230	10484870
1495865293529773295	500764104	51630	1540141	37215009	145971349	125629961	13096735
1495865294030458691	500688401	20990	1965092	45160150	236702732	164528962	7266637
1495865294531166463	500705353	20763	1756755	45432898	238028312	162418158	7633063
1495865295031886860	500723218	9220	2127909	51974218	254695482	172383450	5316877
1495865295532566632	500679413	8981	1799578	48811669	266670856	174053577	4691827
1495865296033364070	500696707	8973	2091891	56853765	236474924	160127156	4306878
1495865296534059550	500798549	9302	2424145	51650558	250481311	176720670	5508165
1495865297034770280	500706297	10662	2282858	49059016	252613062	176470235	5127551
1495865297535458968	500699079	10977	1561887	48637220	258340163	170268114	5529018
1495865298036149032	500687205	11539	1618840	49254595	252675564	168709722	5582078
1495865298536834304	500686733	11099	1526804	48540316	254837060	168935006	5466085
1495865299037448825	500614904	11415	1595287	51264396	246788538	166111537	5666339
1495865299538073722	500615477	10473	1423888	48189014	261428270	169490011	5527642
1495865300038792286	500727750	10773	1475716	49208111	253753717	167341786	5586839
1495865300539419599	500617932	13623	1798643	38748842	275065823	177980447	6313432
1495865301040038788	500631168	19051	2381881	42926018	251511288	174505116	7725463
1495865301540672143	500630583	25627	3149019	55105491	206731579	165536119	9554355
1495865302041306831	500637885	25462	3114882	55081089	208135274	165409298	9566534
1495865302541920312	500611953	25977	3164358	54958286	204169008	165160544	9487880
1495865303042538458	500622084	25894	3162044	55160914	204811349	165351948	9466140
1495865303543158147	500614131	25526	3104146	55302258	208557000	165695143	9558054
1495865304043839544	500685891	25215	3168210	55146569	205399237	165376220	9526266
1495865304544534691	500690487	26551	3177398	54745958	200097640	164270287	9333734
1495865305045334295	500800674	25829	3156806	54554551	201827699	164158120	9436772
1495865305546076567	500744601	25823	3026673	53863788	203960944	162995233	9743056
1495865306046761131	500689605	26726	3000197	53387039	200045281	161761806	9629011
1495865306547450736	500688252	27048	2998051	53388739	198469172	161419696	9549658
1495865307048144466	500696529	26472	2975843	53445504	201524641	161936822	9721804
1495865307549046196	500900685	26841	3056243	53301993	198789901	161920503	9587728
1495865308049683259	500635569	25306	3120064	53834551	204724755	164198025	9811421
1495865308550326864	500644290	25883	3288236	55391426	203101025	166188507	9197062
1495865309050964969	500642181	26412	3196242	54048044	199793363	163900397	9450447
1495865309551584700	500616870	25455	3176149	54175767	203952487	164768769	9694360
1495865310052217930	500631786	24454	3444376	61943588	193552000	163186474	8635126
1495865310552857327	500642478	22816	4026384	60700648	205625800	175528153	8832663
1495865311053596098	500741296	25181	3663639	62658303	194190269	168298346	8257718
1495865311554232995	500637896	23564	3771351	62995738	201032784	170518592	8543464
1495865312054854267	500620854	21697	4350235	73158596	186538246	172522477	7287038
1495865312555477372	500627154	24280	4037747	73670177	170535604	162699522	6484702
1495865313056088644	500610577	24388	4153664	74997756	174001452	166156093	6260481
1495865313556704249	500613680	21710	4329397	65696601	158428732	163008413	7641356
1495865314057325271	500625012	23370	4505259	75577619	174166516	168956838	6521189
1495865314557946710	500621319	24484	4234553	70126650	169869718	164792151	6431059
1495865315058631523	500687679	24246	4054571	73187121	167152893	161216764	6382975
1495865315559262837	500625762	23129	4204147	76121633	173460145	164391014	6457604
1495865316059910775	500634934	23472	4242472	73109120	171085219	164510096	6438693
1495865316560545172	500648777	24001	4243151	76541026	171172491	167888188	6065869
1495865317061255069	500714163	23461	4237705	76243186	171465483	166908039	6330773
1495865317561882299	500631891	23223	4283393	74903433	168929802	165852024	6311960
1495865318062509821	500619762	23184	4226719	74777701	168663922	164194831	6446083
1495865318563142592	500641719	23565	4312865	76995830	175029048	166837478	6060100
1495865319063839031	500695969	23464	4280375	73549302	169189906	166066739	6272907
1495865319564454636	500617029	23342	4242584	77177833	171884643	166969809	6135087
1495865320065091408	500634254	22979	4258965	78064177	173402234	167912798	6280353
1495865320565698555	500606723	23012	4129684	75590880	171505652	163416005	6653750
1495865321066349035	500645294	22632	4414359	73559047	171152303	167530372	6707970
1495865321567057307	500719133	23206	4115897	76335441	171689065	163962409	6358151
1495865322067693662	500628481	22510	4231275	75070095	172843644	166496089	6586883
1495865322568418100	500629950	23324	4152717	76473897	170841348	166530206	6299953
1495865323069044414	500729086	24090	4158774	74934593	167759016	164384051	6389379
1495865323569701186	500655539	23942	4045475	74461365	170250504	162874426	6346538
1495865324070326624	500617362	24272	4136677	73743118	172793010	166151284	6273632
1495865324570957229	500640143	23991	4246296	75070245	172101724	167280499	6194917
1495865325071568543	500609523	23261	4156103	71959751	164595824	163458001	6888920
1495865325572194190	500627364	23347	4159187	73100284	167051751	162904982	6609528
1495865326072851670	500658337	21762	4726369	74456265	175118453	170552213	6726803
1495865326573685608	500836034	23133	4252130	74156582	169961252	165957448	6591554
1495865327074345713	500652636	22913	4507692	72275312	171231317	167555479	6580145
1495865327574978318	500642769	23614	4112944	72714865	169896897	162601883	6547520
1495865328075587298	500609706	24790	4271382	70202756	169150779	163960107	6542623
1495865328576219112	500633857	23584	4121974	73674887	169905729	162451346	6572502
1495865329076852675	500629883	24257	4172616	77213735	173310635	165801534	5912563
1495865329577482281	500629986	24720	4155694	72928067	166979979	165098698	6475423
1495865330078094136	500616678	24516	4215788	74314432	171345101	166160532	6118610
1495865330578770283	500674578	24681	4323432	73237733	170005673	167036313	6193201
1495865331079383680	500616816	22695	4248539	70951130	164849833	164536482	6773640
1495865331580015035	500630149	23843	4300152	75627462	172615805	167038202	6260630
1495865332080646432	500632052	23639	4260921	74967802	171852852	167218161	6243023
1495865332581259703	500614368	23407	4166073	71065076	165221970	163050726	6775232
1495865333081893350	500633250	24159	4232295	70626340	168128111	163985174	6760256
1495865333582560122	500669020	18650	4090837	68429095	166605529	163635039	6588980
1495865334083182602	500623956	24387	4206313	69869804	167879643	163730212	6646692
1495865334583868166	500685374	23029	4103482	77563966	173411742	163049205	6307203
1495865335084524187	500653263	22692	4310119	72177011	168066229	164042167	6728871
1495865335585220709	500701221	22942	4134014	68455105	162218357	161468147	6963733
1495865336085947314	500726671	24150	4197904	75344159	171314393	166241308	6252555
1495865336586555753	500610018	24163	4096754	76171114	169795973	165465018	6133091
1495865337087175400	500618765	23237	4247078	73340383	170185769	164754938	6610097
1495865337587799546	500622237	23965	4053105	75013971	167251895	163234689	6270866
1495865338088425735	500629669	23151	4181259	77555202	170547713	166523669	6306637
1495865338589049715	500626764	23947	4198844	74269430	169151864	165844354	6499435
1495865339089659904	500611423	23447	4194121	76836495	169733349	166600129	6193022
1495865339590270884	500609456	23542	4229244	74749769	169617905	166193879	6318439
1495865340090910364	500633406	23533	4215934	72685772	167281025	164697251	6557953
1495865340591550511	500644676	23812	4284759	72987266	171737014	165054492	6697387
1495865341092175699	500624106	23368	4269905	75983201	171698037	166936662	6295289
1495865341592803263	500628516	23159	4258937	72516479	167487930	165391533	6820186
1495865342093446701	500640465	24572	4088265	71520682	171136011	162880348	6644358
1495865342594055557	500618392	23781	4113354	77829049	174763691	165448375	6170620
1495865343094676787	500623166	23673	4169802	73900156	167800669	164262789	6343271
1495865343595304100	500626752	22956	4149283	78538896	170765902	166302924	6143978
1495865344095923331	500614719	23041	4168670	77369395	170606277	166383644	6162948
1495865344596560477	500641480	23433	4287306	76340993	172206504	167597358	6196169
1495865345097179249	500619041	22985	4262076	70802780	164541705	164469230	6986889
1495865345597855896	500677992	22236	4284976	78709353	174948217	167298204	6145149
1495865346098603376	500748336	24283	4244264	74277800	171157843	166346098	6354272
1495865346599223815	500622091	24082	4077194	73624190	169226492	161834209	6594903
1495865347099827378	500602839	23649	4243207	72543087	169685026	165660529	6694283
1495865347600469983	500644745	23639	4192524	75847740	169261678	165684255	6281104
1495865348101081213	500610982	23875	4032165	72105186	163954798	161084454	6618480
1495865348601695902	500610776	24059	4114460	76001946	168420739	164920129	6162002
1495865349102308382	500613661	24214	4153324	73424509	170590290	165168950	6495022
1495865349602958696	500657274	22715	3907140	74807596	165868488	162871044	5844810
1495865350103720259	456239928	12408	2363001	50984989	123419829	119156546	5876569
1495865350604417072	385131954	37784	2484589	39531717	97824454	111691326	7039843
1495865351105136177	500723230	51226	3288932	47695907	120898970	143388477	9364257
1495865351605788283	500644122	50945	3271182	48869513	122503592	144253814	9289336
1495865352106500179	500717903	50350	3248664	50514372	124617898	145060619	9207528
