#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1496368130141314364	parsec.dedup	1400	42	1.000000	0.313000	0.335000	498029952	5310705	1570965	113427395	1803673	225596492	25379
1496368130651578206	parsec.dedup	1400	42	1.000000	0.822000	0.869000	773518782	8527693	2527733	170139780	2860045	332370192	40941
1496368131161620299	parsec.dedup	1400	42	1.000000	0.824000	0.871000	772193553	8391550	2500844	173524070	2845031	344913723	40444
1496368131671490349	parsec.dedup	1400	42	1.000000	0.826000	0.873000	719280141	3580232	2466041	185913980	3238664	267671392	28766
1496368132181349275	parsec.dedup	1400	41	1.000000	0.802000	0.848000	936098844	3909370	2673118	217722808	3958293	338699430	31229
1496368132691648826	parsec.dedup	1400	42	1.000000	0.807000	0.853000	1000969528	3482952	2059740	350938065	3093897	783341682	31433
1496368133201691334	parsec.dedup	1400	42	1.000000	1.072000	1.136000	1337772747	3790566	1717143	573865295	2267116	1455973416	22190
1496368133711246636	parsec.dedup	1400	42	1.000000	1.513000	1.606000	1301505135	3561041	1317463	649962963	1954479	1808854620	14850
1496368134221070228	parsec.dedup	1400	43	1.000000	1.560000	1.656000	1329584828	3075172	1116466	641548931	1728065	2030930543	12217
1496368134730440613	parsec.dedup	1400	43	1.000000	1.486000	1.578000	1298392411	3910174	1435371	649335318	2316707	1775130349	15954
1496368135239905665	parsec.dedup	1400	43	1.000000	1.538000	1.633000	1332078896	4815839	1797510	619277794	3238837	1655753360	21702
1496368135749277799	parsec.dedup	1400	43	1.000000	1.488000	1.580000	1343473802	5477658	2078916	609049544	4000227	1508442045	25343
1496368136258912476	parsec.dedup	1400	43	1.000000	1.524000	1.616000	1396010655	6505815	2714192	561542437	6017733	1079146039	40022
1496368136768424777	parsec.dedup	1400	43	1.000000	1.457000	1.547000	1397117229	6238031	2609696	569289604	6002000	1094905749	40045
1496368137277912203	parsec.dedup	1400	43	1.000000	1.459000	1.549000	1399655965	6091006	2451315	573196322	3784127	1191954602	25474
1496368137787047505	parsec.dedup	1400	43	1.000000	1.441000	1.528000	1402395588	5968270	2307883	584868066	2399358	1287349709	13389
1496368138296164182	parsec.dedup	1400	43	1.000000	1.522000	1.614000	1396035438	3219717	1176649	649951840	1664654	1437359170	6881
1496368138805186609	parsec.dedup	1400	44	1.000000	1.525000	1.619000	1401999000	2390148	826017	661690600	1260769	1508305248	4813
1496368139314250494	parsec.dedup	1400	44	1.000000	1.586000	1.684000	1401779058	2213314	778854	643303585	1114582	1512397971	4641
1496368139823250505	parsec.dedup	1400	44	1.000000	1.562000	1.658000	1401793006	1893366	657899	633418228	944438	1523259078	4014
1496368140332346973	parsec.dedup	1400	44	1.000000	1.582000	1.680000	1401785612	2083198	806503	567568614	990035	1478714691	6947
1496368140841333942	parsec.dedup	1400	44	1.000000	1.511000	1.604000	1401783608	2815564	1176832	561538524	1340268	1432892947	10722
1496368141350296286	parsec.dedup	1400	44	1.000000	1.531000	1.625000	1401961516	2785576	1156149	559755820	1301584	1458440846	10539
1496368141859307713	parsec.dedup	1400	44	1.000000	1.510000	1.603000	1401802500	2129171	831086	565985962	958523	1490835076	7168
1496368142368209140	parsec.dedup	1400	44	1.000000	1.510000	1.603000	1401790608	2028415	798813	568324068	916434	1492730577	6594
1496368142877133567	parsec.dedup	1400	44	1.000000	1.515000	1.608000	1401904719	2122431	836011	570462944	997138	1486407204	7188
1496368143386195869	parsec.dedup	1400	44	1.000000	1.517000	1.611000	1401850033	2340789	940587	559758493	1080658	1479005144	8015
1496368143895145879	parsec.dedup	1400	44	1.000000	1.505000	1.596000	1401857325	2384118	973482	564414922	1135223	1477245242	8405
1496368144404327056	parsec.dedup	1400	44	1.000000	1.506000	1.599000	1401786155	3158218	1450798	532938558	1720448	1379846307	10582
1496368144913517900	parsec.dedup	1400	44	1.000000	1.474000	1.565000	1401862110	3743863	1721910	528904965	1894654	1355464591	12806
1496368145424700240	parsec.dedup	1400	43	1.000000	1.468000	1.557000	1401871474	4431572	2120591	510877097	2278156	1269619963	15847
1496368145934699416	parsec.dedup	1400	44	1.000000	1.471000	1.562000	1402121785	3968946	1846831	526665729	2014087	1343291671	13680
1496368146443853759	parsec.dedup	1400	44	1.000000	1.477000	1.568000	1402025921	4089691	1940551	520482612	2090035	1322833407	14459
1496368146953029478	parsec.dedup	1400	44	1.000000	1.482000	1.573000	1330768417	4246960	2058215	469962002	2466772	1162766742	15569
1496368147462653237	parsec.dedup	1400	43	1.000000	1.447000	1.535000	713352767	8597018	4382005	138724325	4427106	252568891	33755
1496368147972099372	parsec.dedup	1400	42	1.000000	0.766000	0.810000	712896353	8615721	4334569	138922166	4372800	253626031	33174
1496368148482137673	parsec.dedup	1400	42	1.000000	0.765000	0.809000	877022120	8622641	4505393	171434862	4726346	296827935	31949
1496368148992824472	parsec.dedup	1400	42	1.000000	0.938000	0.994000	499190305	2732092	1102675	100281705	1880480	215442429	10690
1496368149503305356	parsec.facesim	1400	41	1.000000	0.696000	0.737000	774776383	8566343	2527795	166775872	2871155	321628701	41058
1496368150013736906	parsec.facesim	1400	41	1.000000	0.823000	0.870000	773055322	8422990	2484600	171219821	2843939	336129815	40543
1496368150523928373	parsec.facesim	1400	41	1.000000	0.831000	0.879000	771091587	8319804	2465998	175051471	2829609	350201368	40108
1496368151033430424	parsec.facesim	1400	41	1.000000	0.827000	0.874000	767105559	4938785	1588608	239910424	1889810	536840018	24381
1496368151542700351	parsec.facesim	1400	41	1.000000	0.917000	0.970000	706003626	1343370	845050	300041587	1190505	704562426	11116
1496368152052136402	parsec.facesim	1400	41	1.000000	0.931000	0.986000	705998890	1410035	852915	155304808	1453913	440781903	14341
1496368152561464746	parsec.facesim	1400	41	1.000000	0.817000	0.864000	702771017	794309	349345	121543530	1128920	365517454	4487
1496368153070551839	parsec.facesim	1400	41	1.000000	0.738000	0.780000	701429778	94275	61346	161201241	766930	441994424	274
1496368153579707349	parsec.facesim	1400	41	1.000000	0.763000	0.806000	701880356	513588	189006	124173309	977040	386819286	1841
1496368154088976901	parsec.facesim	1400	41	1.000000	0.779000	0.824000	702133310	776652	239562	124146386	1363492	333250059	2539
1496368154598204786	parsec.facesim	1400	41	1.000000	0.802000	0.848000	703801064	871208	462170	155849092	1400824	362854882	6526
1496368155107456046	parsec.facesim	1400	41	1.000000	0.744000	0.786000	703336635	667090	378532	138064344	1141837	335034181	5448
1496368155617291972	parsec.facesim	1400	41	1.000000	0.742000	0.785000	703236297	652948	362607	136535924	1111953	331453397	5026
1496368156126651940	parsec.facesim	1400	40	1.000000	0.748000	0.791000	702835466	550410	323619	134096308	1089454	324252333	4316
1496368156635721034	parsec.facesim	1400	41	1.000000	0.749000	0.792000	702968132	508884	300674	145276953	904482	446048804	4430
1496368157145064252	parsec.facesim	1400	41	1.000000	0.764000	0.808000	701552504	106073	43070	355061664	473407	762754604	324
1496368157654227596	parsec.facesim	1400	41	1.000000	0.908000	0.960000	701714682	120930	54279	981417902	1321116	1237807619	609
1496368158163333064	parsec.facesim	1400	41	1.000000	1.197000	1.268000	701544420	132641	61865	171058414	379044	624840429	523
1496368158672569366	parsec.facesim	1400	41	1.000000	0.828000	0.876000	880676398	5390494	1528793	322546620	4600985	587741815	25956
1496368159181773834	parsec.facesim	1400	41	1.000000	1.322000	1.402000	1401927242	12711136	50007	693553841	11003773	1332909942	228
1496368159691059469	parsec.facesim	1400	42	1.000000	1.547000	1.642000	1272373961	11175708	81357	628362472	9749726	1210614122	753
1496368160200261688	parsec.facesim	1400	42	1.000000	1.128000	1.195000	1283714678	14793977	50350	575416413	8523990	1163181839	268
1496368160709493073	parsec.facesim	1400	42	1.000000	1.499000	1.590000	1401922086	18184476	48754	628002966	10137200	1260002054	229
1496368161218816166	parsec.facesim	1400	42	1.000000	1.502000	1.593000	1358999041	1803052	117247	379609240	1572476	805509661	1115
1496368161728090843	parsec.facesim	1400	42	1.000000	1.335000	1.416000	1372807562	243661	96437	371889285	418550	764516679	681
1496368162237710769	parsec.facesim	1400	43	1.000000	1.360000	1.442000	1370415360	256157	99049	371520950	418211	763292929	685
1496368162747081695	parsec.facesim	1400	43	1.000000	1.354000	1.436000	1366147207	247857	96046	370995034	416481	763102194	673
1496368163256636955	parsec.facesim	1400	43	1.000000	1.355000	1.437000	1378323605	248330	95945	376661728	422698	775182348	671
1496368163766355589	parsec.facesim	1400	43	1.000000	1.355000	1.437000	1382513927	240199	93603	376117650	419906	773887815	657
1496368164275753932	parsec.facesim	1400	43	1.000000	1.359000	1.441000	1371373878	244410	95334	369448506	414899	759800650	669
1496368164785188942	parsec.facesim	1400	43	1.000000	1.361000	1.444000	1374072348	251253	98428	370871879	418051	762575960	686
1496368165294682077	parsec.facesim	1400	43	1.000000	1.364000	1.447000	1379279584	251748	98618	371832034	418725	763804156	674
1496368165804004753	parsec.facesim	1400	44	1.000000	1.357000	1.439000	1371066930	244381	94307	371142598	415971	763296039	662
1496368166313498346	parsec.facesim	1400	43	1.000000	1.351000	1.433000	1383107505	6907106	82242	463739878	4151887	944869677	523
1496368166822807981	parsec.facesim	1400	44	1.000000	1.408000	1.493000	1401953020	18319900	50094	616427522	10265458	1255758644	224
1496368167331995367	parsec.facesim	1400	43	1.000000	1.501000	1.592000	1402154752	18295037	49117	622092668	10259065	1264922061	224
1496368167841312418	parsec.facesim	1400	43	1.000000	1.511000	1.604000	1029621263	7454935	326841	420287917	5685491	929900802	788
1496368168350707803	parsec.facesim	1400	43	1.000000	1.200000	1.272000	708993900	1795098	704685	235971535	1470510	518905342	1416
1496368168860404854	parsec.facesim	1400	42	1.000000	0.922000	0.975000	513034567	2786708	832476	101665675	1236546	239646220	12943
1496368169370606904	parsec.freqmine	1400	42	1.000000	0.521000	0.554000	773358569	8558164	2523097	168562331	2870343	326330743	41079
1496368169880937080	parsec.freqmine	1400	41	1.000000	0.826000	0.873000	772814820	8416507	2486897	172402853	2835634	339682398	40463
1496368170391140630	parsec.freqmine	1400	41	1.000000	0.810000	0.856000	771303521	8274095	2475338	175939881	2825858	354003447	40031
1496368170900920431	parsec.freqmine	1400	41	1.000000	0.826000	0.873000	752098735	2941504	901321	104721348	1096503	226888402	14126
1496368171409964608	parsec.freqmine	1400	40	1.000000	0.805000	0.851000	702989294	192723	99214	68262684	183239	164341263	1107
1496368171919222326	parsec.freqmine	1400	40	1.000000	0.668000	0.706000	703096319	196842	103019	68466811	185903	164546542	1161
1496368172428303670	parsec.freqmine	1400	40	1.000000	0.666000	0.704000	702773377	189293	98805	68388967	179322	164637346	1103
1496368172937516805	parsec.freqmine	1400	40	1.000000	0.662000	0.699000	702714482	186167	96801	68360547	177538	164532345	1100
1496368173446688065	parsec.freqmine	1400	40	1.000000	0.663000	0.700000	702990098	191386	98928	68398975	179321	164643383	1107
1496368173955824117	parsec.freqmine	1400	40	1.000000	0.662000	0.699000	702999433	190860	98748	68366956	178979	164594242	1105
1496368174465002044	parsec.freqmine	1400	39	1.000000	0.662000	0.699000	702744028	192377	98900	68358914	178393	164550141	1106
1496368174974179929	parsec.freqmine	1400	39	1.000000	0.662000	0.699000	703103305	192713	99745	68427928	179675	164687064	1110
1496368175483222106	parsec.freqmine	1400	39	1.000000	0.660000	0.697000	702976613	191908	99021	68389914	178996	164620936	1107
1496368175992459449	parsec.freqmine	1400	39	1.000000	0.662000	0.699000	702825094	189552	100005	68413761	178954	164683562	1110
1496368176501591626	parsec.freqmine	1400	39	1.000000	0.661000	0.698000	702830186	187193	99303	68380859	177502	164579867	1105
1496368177010696136	parsec.freqmine	1400	39	1.000000	0.661000	0.698000	703063754	190133	98969	68430590	179156	164707797	1106
1496368177519939146	parsec.freqmine	1400	39	1.000000	0.661000	0.698000	702760779	189140	98587	68344426	178445	164601736	1103
1496368178029203906	parsec.freqmine	1400	39	1.000000	0.661000	0.698000	702664105	187077	97882	68402359	177053	164677545	1107
1496368178538319958	parsec.freqmine	1400	39	1.000000	0.660000	0.697000	702918736	193601	100907	68393781	178369	164610242	1107
1496368179047677218	parsec.freqmine	1400	39	1.000000	0.661000	0.698000	703016530	188536	99066	68421054	176503	164617006	1104
1496368179556922061	parsec.freqmine	1400	39	1.000000	0.661000	0.698000	1049048194	454140	255999	208685648	715587	1096290423	2635
1496368180066329238	parsec.freqmine	1400	40	1.000000	1.197000	1.268000	1366443277	1039088	632997	293327935	8717379	1443222885	7461
1496368180576211164	parsec.freqmine	1400	40	1.000000	1.314000	1.394000	1359804908	2110040	1337356	344107056	6895328	784187418	17624
1496368181085498215	parsec.freqmine	1400	41	1.000000	1.178000	1.248000	1402137948	218502	52010	800824159	1354130	1556994795	251
1496368181594663725	parsec.freqmine	1400	41	1.000000	1.607000	1.706000	1402129780	212795	50552	835565299	1330394	1576548525	234
1496368182103792569	parsec.freqmine	1400	42	1.000000	1.610000	1.709000	1402127102	208375	49642	850245321	1290568	1590525093	231
1496368182612933496	parsec.freqmine	1400	42	1.000000	1.605000	1.704000	1402261042	214855	50645	864272137	1159704	1619296707	233
1496368183122049798	parsec.freqmine	1400	42	1.000000	1.619000	1.719000	1402157869	205273	47399	874074213	1208572	1624998563	226
1496368183631345891	parsec.freqmine	1400	42	1.000000	1.614000	1.714000	1402119779	210684	50133	865317284	1241193	1612097967	230
