#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496402710749554825	parsec.dedup	1400	38	1.000000	0.449000	0.478000	495991153	43977	3018583	45641877	113143965	131853852	8694332
1496402711259766334	parsec.dedup	1400	38	1.000000	0.818000	0.865000	773578262	71584	4773578	67811116	170553404	204489078	13765763
1496402711769811968	parsec.dedup	1400	38	1.000000	0.818000	0.865000	771642989	70884	4734902	70284991	173435602	205296364	13574728
1496402712279561644	parsec.dedup	1400	38	1.000000	0.823000	0.870000	719285227	58004	1861139	48680315	187129166	149248076	15698677
1496402712789547694	parsec.dedup	1400	38	1.000000	0.796000	0.842000	933484708	62890	2322773	61347653	219002845	192600333	17166996
1496402713299510953	parsec.dedup	1400	38	1.000000	1.043000	1.105000	998468218	56564	3602415	85438796	348581716	258658169	18120470
1496402713809444129	parsec.dedup	1400	39	1.000000	0.801000	0.847000	1331630773	41952	6664799	117143290	553345370	408959257	24502905
1496402714318664306	parsec.dedup	1400	39	1.000000	1.406000	1.493000	1346954503	22422	5207583	125096469	694668979	462450940	15995031
1496402714827855899	parsec.dedup	1400	39	1.000000	1.510000	1.603000	1303285885	23844	3857946	126826662	625174127	402819039	13814046
1496402715337180784	parsec.dedup	1400	40	1.000000	1.512000	1.605000	1313491187	26494	3933514	118495821	651918378	427415860	14863320
1496402715846411544	parsec.dedup	1400	40	1.000000	1.482000	1.573000	1321129008	35930	4975537	131216008	607845679	409631147	17064819
1496402716355634221	parsec.dedup	1400	40	1.000000	1.478000	1.569000	1354023076	44134	5907098	128890556	610066313	432902313	19805793
1496402716865119189	parsec.dedup	1400	40	1.000000	1.491000	1.583000	1393060967	73868	8778491	149158532	561098729	441186721	27257197
1496402717374549574	parsec.dedup	1400	40	1.000000	1.446000	1.535000	1394793024	74558	8871753	149850255	561816719	442706799	27248311
1496402717883956750	parsec.dedup	1400	40	1.000000	1.461000	1.551000	1394787705	75461	8822146	147223042	550214426	437545079	27619711
1496402718393398968	parsec.dedup	1400	40	1.000000	1.450000	1.539000	1399129201	43799	10711380	179815481	551341812	453873030	26976000
1496402718902619729	parsec.dedup	1400	40	1.000000	1.472000	1.563000	1395450032	12299	12017143	201447543	598892632	480912456	24492485
1496402719411856155	parsec.dedup	1400	40	1.000000	1.497000	1.589000	1401807806	11294	13264186	220760891	583981189	495542779	21647292
1496402719920956374	parsec.dedup	1400	40	1.000000	1.522000	1.616000	1401820996	5337	13818330	235808112	656401184	524032328	21786295
1496402720429991759	parsec.dedup	1400	40	1.000000	1.552000	1.648000	1401837731	4598	14770206	251114671	638920514	534787902	20992313
1496402720939221936	parsec.dedup	1400	40	1.000000	1.554000	1.650000	1401788992	6568	15646856	269945574	588260814	526227203	16978233
1496402721448147446	parsec.dedup	1400	40	1.000000	1.536000	1.631000	1401787076	11056	15406839	265801791	555937330	510850259	17445412
1496402721957286498	parsec.dedup	1400	40	1.000000	1.489000	1.581000	1401811303	7306	15925486	271360456	575304722	517010606	16497672
1496402722466293800	parsec.dedup	1400	40	1.000000	1.502000	1.595000	1401784266	7713	15312380	282862296	565441424	513000887	14728831
1496402722975423769	parsec.dedup	1400	40	1.000000	1.516000	1.609000	1402284266	7853	15825533	276574939	565829550	519223919	15226654
1496402723484395821	parsec.dedup	1400	40	1.000000	1.514000	1.607000	1402205024	8857	15428600	275940026	561192750	511008962	15552176
1496402723993544664	parsec.dedup	1400	40	1.000000	1.499000	1.591000	1401783378	7907	15800219	275229797	564959731	518052562	15144137
1496402724502537175	parsec.dedup	1400	40	1.000000	1.518000	1.612000	1401794054	7111	15446076	283204725	566188284	515238213	15092537
1496402725011621060	parsec.dedup	1400	40	1.000000	1.510000	1.603000	1401777512	9129	14918947	265554818	550416068	502653466	15887637
1496402725520801070	parsec.dedup	1400	40	1.000000	1.491000	1.583000	1401931779	13730	14179363	256127078	535292105	493718203	16416923
1496402726030309455	parsec.dedup	1400	40	1.000000	1.479000	1.570000	1402384663	14002	14760558	251026480	529423869	495281393	17425339
1496402726540010547	parsec.dedup	1400	40	1.000000	1.467000	1.557000	1397606009	16432	14206898	240181967	521747233	482158706	17385782
1496402727049521182	parsec.dedup	1400	40	1.000000	1.450000	1.539000	1402083020	13079	14702440	256430661	534718100	497573286	15926497
1496402727558859984	parsec.dedup	1400	40	1.000000	1.475000	1.566000	1402103994	15854	14458544	247069402	523646774	492297253	17017297
1496402728068697243	parsec.dedup	1400	40	1.000000	1.476000	1.567000	988002281	26260	6853712	114115987	278795089	282021948	14851546
1496402728578020836	parsec.dedup	1400	39	1.000000	1.082000	1.146000	713097125	33056	2813264	48491797	138212652	161235054	12181618
1496402729087480638	parsec.dedup	1400	38	1.000000	0.766000	0.810000	713074276	33369	2735727	48514965	138532805	161261260	12103062
1496402729596995897	parsec.dedup	1400	38	1.000000	0.765000	0.809000	713797613	21446	2105124	50694643	141882346	151608896	10566222
1496402730107295489	parsec.facesim	1400	38	1.000000	0.775000	0.819000	522892399	39607	2818599	45812330	110565351	127057556	8938704
1496402730617509914	parsec.facesim	1400	38	1.000000	0.823000	0.870000	773175469	71871	4781438	67357232	169787417	203885782	13779210
1496402731127779506	parsec.facesim	1400	38	1.000000	0.810000	0.856000	772286168	70979	4747242	69934165	173069194	205229234	13638608
1496402731637820640	parsec.facesim	1400	38	1.000000	0.814000	0.862000	781007467	70006	4696910	73015055	177782868	207502573	13600440
1496402732147323983	parsec.facesim	1400	37	1.000000	0.914000	0.968000	731137727	19391	1305905	114655012	285270344	198437108	7111495
1496402732656601493	parsec.facesim	1400	37	1.000000	0.931000	0.986000	707273309	24980	1068166	83274314	236777827	184869536	8384386
1496402733165762295	parsec.facesim	1400	37	1.000000	0.817000	0.864000	705648509	18348	6974832	95068304	149314389	187745998	7064249
1496402733674960889	parsec.facesim	1400	37	1.000000	0.757000	0.800000	704159065	7396	4838389	81570192	120858389	148729505	5423708
1496402734184141399	parsec.facesim	1400	37	1.000000	0.768000	0.812000	702927536	1591	5960547	95169743	161018528	192528250	5000640
1496402734693365742	parsec.facesim	1400	37	1.000000	0.762000	0.806000	703277477	3715	9180321	102711177	123207985	201734445	4253145
1496402735202642294	parsec.facesim	1400	37	1.000000	0.767000	0.811000	704469124	9170	3375104	70926179	139409489	136141666	6050789
1496402735712179137	parsec.facesim	1400	37	1.000000	0.767000	0.811000	704598005	11370	2113400	68854675	146518420	122482593	5256711
1496402736221477063	parsec.facesim	1400	36	1.000000	0.744000	0.787000	704322429	11006	2164361	66992618	137010520	117601333	4567930
1496402736730723823	parsec.facesim	1400	36	1.000000	0.746000	0.789000	705033548	11869	2206621	67256747	138079341	119273136	4627782
1496402737240457708	parsec.facesim	1400	36	1.000000	0.743000	0.786000	704954824	11348	2093968	66601149	135831707	116884735	4645772
1496402737749860593	parsec.facesim	1400	36	1.000000	0.748000	0.791000	702515238	265	13710568	145225573	156718317	293105275	3501866
1496402738259100436	parsec.facesim	1400	36	1.000000	0.826000	0.873000	703090598	654	5658326	80487740	756590343	324801769	72603139
1496402738768237738	parsec.facesim	1400	37	1.000000	1.276000	1.353000	703188921	1601	8755687	105718068	581334736	328867324	52102385
1496402739278013289	parsec.facesim	1400	37	1.000000	0.826000	0.873000	707456885	27821	11151101	122802537	184968580	275585703	6111924
1496402739787326674	parsec.facesim	1400	37	1.000000	0.928000	0.983000	1192968676	24828	1665853	63019941	553262509	319687912	16023567
1496402740296619517	parsec.facesim	1400	38	1.000000	1.547000	1.642000	1401935434	458	1554373	70240524	712177128	391365132	17288636
1496402740805767277	parsec.facesim	1400	38	1.000000	1.249000	1.325000	1161351386	1505	1193069	60919027	563844605	311370924	15024161
1496402741315065870	parsec.facesim	1400	39	1.000000	1.516000	1.609000	1401903520	458	1550530	72799469	641277505	368799742	21302167
1496402741824354922	parsec.facesim	1400	39	1.000000	1.521000	1.615000	1301667426	1811	429503	46109037	411490504	237735158	29382564
1496402742333862515	parsec.facesim	1400	39	1.000000	1.345000	1.428000	1378411821	1184	133681	15035031	370943791	201389771	48300370
1496402742843511191	parsec.facesim	1400	39	1.000000	1.358000	1.440000	1366460443	1144	128284	14913672	367578035	199694761	47815455
1496402743352911576	parsec.facesim	1400	39	1.000000	1.333000	1.414000	1383685415	1212	129406	15103261	373295942	202472052	48692759
1496402743862369252	parsec.facesim	1400	40	1.000000	1.350000	1.433000	1376032784	1174	128446	15118772	374163678	203027131	48722614
1496402744371811595	parsec.facesim	1400	40	1.000000	1.367000	1.450000	1380134496	1166	126649	15047860	372069412	201906094	48403900
1496402744881372480	parsec.facesim	1400	40	1.000000	1.356000	1.438000	1372282410	1195	130683	14903870	367511137	199583744	47903379
