#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211425390969432	618151953	0	251073	74536	59355	93218664	88574
1481211425891731954	1001609792	0	42302	17154	9654	115727477	18122
1481211426392379186	1001306483	0	46278	19701	10014	112322932	18282
1481211426893009022	1001272504	0	43467	18870	9583	134877023	17897
1481211427393669064	1001311463	0	43544	18806	9371	134621756	18465
1481211427894400417	1001502118	0	40495	18379	9651	92920018	18130
1481211428395112560	1001425704	0	43404	19134	9609	135353503	18968
1481211428895759221	1001302076	0	41561	18330	8849	134701265	18750
1481211429396408839	1001309285	0	43993	19434	9461	102777640	18878
1481211429897059058	1001309648	0	42410	18618	9352	125442551	18270
1481211430397711356	1001304007	0	45272	19800	9844	134720024	18470
1481211430898361547	1001322178	0	41531	18118	9082	132884255	18080
1481211431399006234	1001300128	0	43850	18983	9535	94917058	18900
1481211431899691228	1001302097	0	43735	19192	9568	135155967	18992
1481211432400336175	1001378296	0	44259	19717	9568	134689777	18440
1481211432900983764	1001303804	0	42381	19380	9162	96811052	18338
1481211433401632971	1001307912	0	43848	19051	9293	131417750	18661
1481211433902278861	1001303245	0	42215	18965	9232	134709914	18715
1481211434402928326	1001309100	0	45294	19565	9840	123065496	18471
1481211434903597807	1001348708	0	42689	18786	9583	104795821	17979
1481211435404173988	1001160510	0	44342	19619	9542	134906155	18067
1481211435904753101	1001169199	0	43485	18766	9340	134686378	19216
1481211436405330413	1001163638	0	44420	18593	9206	92813397	18530
1481211436905907447	1001160222	0	43289	18645	9320	135460674	18546
1481211437406484096	1001167488	0	45448	19053	9410	134717675	19001
1481211437907060009	1001157344	0	43282	17884	9051	111632721	18789
1481211438407636952	1001163786	0	46003	19621	9949	116443011	18633
1481211438908211659	1001158899	0	45046	19250	9579	134842251	18580
1481211439408788270	1001159921	0	44918	18910	9449	134657889	18617
1481211439909415728	949008282	0	66615	26426	15036	93472129	25350
1481211440410140296	716756026	0	454037	163220	804935	248993750	226238
1481211440910736211	1001207121	0	202140	99774	1057285	357446674	165714
1481211441411327779	1001190910	0	204345	103995	1115084	354916104	163981
1481211441911926110	1001198440	0	188878	103133	1129862	354627978	164034
1481211442412526675	1001214320	0	202671	101934	1043173	357973494	165590
1481211442913121752	1001199643	0	204137	103638	1129497	354799923	163697
1481211443413721981	1001207182	0	203183	100921	1128913	354432783	164120
1481211443914315762	1001195335	0	200057	103552	1044155	359222481	167024
1481211444414966318	1001307340	0	200080	105250	1130310	354727634	164458
1481211444915626302	1001327910	0	202722	103025	1129872	354633716	163970
1481211445416218602	1001194810	0	202794	106613	1042672	358406197	165890
1481211445916804663	1001181220	0	208169	100599	1130633	353888504	164734
1481211446417388914	1001175790	0	185831	100353	1094997	356127582	164513
1481211446917974758	1001177555	0	202581	101748	1077872	356597804	165899
1481211447418569209	1001196115	0	203589	100758	1128774	354045804	164503
1481211447919157753	1001188870	0	207089	103653	1044092	358118835	167213
1481211448419796610	1001281445	0	188472	101313	1130093	354158415	164387
1481211448920389768	1001195425	0	202320	102845	1130482	354040812	163868
1481211449420989948	1001203135	0	204186	108418	1042303	358068958	165735
1481211449921592386	1001212453	0	205949	102191	1130796	354412411	164392
1481211450422192595	1001210352	0	191076	101380	1125416	354654275	163442
1481211450922781230	1001181690	0	208069	103064	1048742	357525766	166272
1481211451423369676	1001184975	0	202914	102486	1128488	354166079	163732
1481211451923962088	1001193083	0	208364	107949	1074752	356638728	166565
1481211452424552603	1001188127	0	205016	102724	1099358	355474363	164633
1481211452925185584	1001272720	0	204798	104984	1130709	355000424	165401
1481211453425775583	1001183965	0	210099	103720	1044818	358027720	167356
1481211453926366340	1001188845	0	206966	100833	1131698	354862017	164451
1481211454426948948	1001174223	0	202114	102109	1129699	354197115	164187
1481211454927670021	912383589	0	208811	108445	1010532	322726074	160196
1481211455428296402	738963093	0	2202502	1021301	1182848	472565687	1194686
1481211455928897083	1001205501	0	2797637	1305175	1610871	653016622	1543466
1481211456429501779	1001216670	0	2767758	1321719	1597620	653744936	1554382
1481211456930160816	1001324054	0	2748276	1318488	1582052	657304956	1536819
1481211457430757659	1001192199	0	2763481	1307309	1600556	655813683	1534251
1481211457931362051	1001211196	0	2785496	1338966	1601472	650295400	1565535
1481211458432051831	1001405330	0	2740614	1311046	1582143	658960689	1537489
1481211458932661536	1001219826	0	2753577	1329843	1581771	657318256	1541389
1481211459433270670	1001216685	0	2767731	1345528	1618343	649596023	1551124
1481211459933910061	1001289625	0	2758784	1336985	1581479	656225078	1546431
1481211460434522839	1001228335	0	2756315	1325213	1580984	655856118	1541000
1481211460935213540	1001389299	0	2739432	1318055	1601802	654182687	1534769
1481211461435931003	1001443291	0	2794558	1327450	1602548	652187640	1562666
1481211461936627888	1001392894	0	2753668	1313845	1583589	657644253	1538208
1481211462437319743	1001393521	0	2769755	1324646	1585109	656931513	1540241
1481211462938000854	1001360820	0	2794036	1343082	1616695	649525303	1550768
1481211463438715891	1001440615	0	2734643	1333560	1581445	656641156	1544412
1481211463939414768	1001400760	0	2731454	1316887	1582746	656702439	1541295
1481211464440238654	1001657905	0	2779912	1319768	1607418	653187119	1542955
1481211464940870088	1001266890	0	2803708	1338710	1602074	651536352	1563377
1481211465441489823	1001239544	0	2716938	1319878	1586449	656958558	1549417
1481211465942100188	1001232961	0	2725183	1329425	1585243	656832903	1553286
1481211466442712395	1001224120	0	2769882	1339963	1617047	649830544	1558100
1481211466943367106	1001320275	0	2752047	1338935	1595713	654105979	1561766
1481211467443972076	1001209594	0	2735935	1310373	1588262	656373596	1553566
1481211467944587258	1001233530	0	2724153	1327285	1602617	655501509	1547683
1481211468445271948	1001375860	0	2783132	1334830	1609245	649830354	1574213
1481211468945905267	1001273514	0	2730927	1333911	1584770	656933369	1550717
1481211469446516384	1001221526	0	2717744	1325942	1585167	656447536	1554266
1481211469947136756	1001245879	0	2767048	1325916	1611011	652565987	1555707
1481211470447746384	653651353	0	1133404	491050	803147	432267088	585587
1481211470948352807	1001213910	0	1366025	657003	1188959	674911292	793257
1481211471448981569	1001266180	0	1398529	643616	1164901	680686863	775375
1481211471949583002	1001212395	0	1306713	630143	1162630	683480382	758184
1481211472450237772	1001311284	0	1307852	629236	1170734	683784737	756511
1481211472950842130	1001214236	0	1298833	631541	1167951	682252995	760973
1481211473451443950	1001205425	0	1366372	659577	1196601	675657347	785978
1481211473952078398	1001274620	0	1352143	651953	1167797	680344192	788040
1481211474452753850	1001350650	0	1307045	632565	1164725	683932063	763923
1481211474953381139	1001259295	0	1293619	628299	1167939	684185804	763678
1481211475453983139	1001213690	0	1335823	632525	1169645	682197063	759919
1481211475954585101	1001204330	0	1360730	649824	1194149	675525785	779417
1481211476455274689	1001389600	0	1353050	650235	1170809	680143625	784614
1481211476955876406	1001205270	0	1337994	634292	1165969	683048567	762314
1481211477456480208	1001209075	0	1308501	632302	1172470	684618375	761072
1481211477957075680	1001196245	0	1342952	635112	1183444	682101372	764086
