#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481349486446559604	automotive_bitcount	1000	54	0.900000	0.294000	0.288000	314338474	479839157	918	1508	4	2103492	64923489
1481349486955776008	automotive_bitcount	1000	54	0.900000	0.559000	0.546000	500799090	762595555	109	218	0	4018286	100539285
1481349487464766120	automotive_bitcount	1000	54	0.900000	0.535000	0.523000	500573940	795981572	109	218	0	3100634	91272010
1481349487973793816	automotive_bitcount	1000	54	0.900000	0.560000	0.547000	500607027	761877690	109	218	0	3904519	102242056
1481349488482802470	automotive_bitcount	1000	54	0.900000	0.554000	0.541000	500627774	810871664	109	218	0	2736876	100766334
1481349488991855291	automotive_bitcount	1000	54	0.900000	0.560000	0.547000	500573980	796788746	108	216	0	3074893	91277902
1481349489500845236	automotive_bitcount	1000	54	0.900000	0.526000	0.514000	500600952	760808379	109	218	0	3845717	105785421
1481349490009852557	automotive_bitcount	1000	54	0.900000	0.563000	0.550000	500603598	810724089	109	218	0	2847469	97262245
1481349490518831752	automotive_bitcount	1000	54	0.900000	0.555000	0.542000	500603399	796902421	109	218	0	3072540	91277274
1481349491027894573	automotive_bitcount	1000	54	0.900000	0.563000	0.550000	500609056	764185123	109	218	0	3760033	108050865
1481349491536790352	automotive_bitcount	1000	54	0.900000	0.541000	0.529000	500659361	808266483	110	220	0	2898862	94981955
1481349492045876006	automotive_bitcount	1000	54	0.900000	0.561000	0.548000	500604979	796579314	109	218	0	3083022	91351906
1481349492554867326	automotive_bitcount	1000	54	0.900000	0.529000	0.517000	500606890	771027138	109	218	0	3661333	109141545
1481349493063836105	automotive_bitcount	1000	54	0.900000	0.560000	0.547000	500604201	801123686	109	218	0	2994158	93784568
1481349493572854426	automotive_bitcount	1000	54	0.900000	0.522000	0.511000	500603132	786394844	109	218	0	3353207	93902430
1481349494081762746	automotive_bitcount	1000	54	0.900000	0.558000	0.545000	500624793	786729912	108	216	0	3284655	108449431
1481349494590710275	automotive_bitcount	1000	54	0.900000	0.535000	0.524000	500606470	796327959	109	218	0	3093117	91996895
1481349495099634221	automotive_bitcount	1000	54	0.900000	0.560000	0.547000	500603614	776353707	109	218	0	3633819	96630350
