#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481344695326424276	473235656	703218505	919	1510	4	3672515	100633436
1481344695827221997	751241533	1186231406	111	222	0	4795362	149394390
1481344696327840635	750927016	1189544517	108	216	0	4798862	148425808
1481344696828439647	750896349	1192215724	109	218	0	4798872	147799148
1481344697329050827	750917352	1190410606	109	218	0	4798966	148422498
1481344697829634423	750884754	1190118389	109	218	0	4799009	148439192
1481344698330370102	751089301	1189286168	110	220	0	4799940	148243253
1481344698830983698	750920184	1186220910	109	218	0	4878395	147421538
1481344699331587211	750903608	1185987450	109	218	0	4889575	147224125
1481344699832199765	750917709	1186158559	108	216	0	4884143	147228221
1481344700332813903	750919244	1186559306	109	218	0	4867643	147225874
1481344700833420332	750907271	1186817701	109	218	0	4857039	147224235
1481344701334024928	750906771	1186871703	109	218	0	4856079	147223974
1481344701834639024	750919045	1186811573	109	218	0	4864563	147235569
1481344702335369620	751095873	1187379408	110	220	0	4845824	147303597
1481344702835976300	750907348	1186890977	109	218	0	4855460	147300978
1481344703336582229	750907387	1186927988	109	218	0	4854948	147305886
1481344703837188158	750905768	1187938249	109	218	0	4818064	147234796
1481344704337798129	750915846	1186581549	108	216	0	4849811	147189717
1481344704838454100	750978581	1186014527	109	218	0	4876810	147195660
1481344705339039280	750880585	1187971655	109	218	0	4816403	147228633
1481344705839627084	750877728	1187834006	109	218	0	4816514	147220220
1481344706340358472	751097893	1187449467	110	220	0	4844048	147302605
1481344706840950734	750885319	1187865084	109	218	0	4815486	147223048
1481344707341539497	750882053	1187222209	109	218	0	4841332	147223271
1481344707842126926	750881001	1187910882	109	218	0	4816264	147227467
1481344708342711522	750875334	1186163233	109	218	0	4862842	147614386
1481344708843301160	750881566	1181206831	109	218	0	4994597	148930022
1481344709343893797	750888332	1181517193	108	216	0	4994183	149002000
1481344709844481810	750879486	1181427035	109	218	0	4992479	148965793
1481344710345072656	750886013	1180255544	110	220	0	5045509	148799427
1481344710845665710	750886223	1180517216	109	218	0	5033946	148834224
1481344711346260514	750891681	1185306459	109	218	0	4850339	148376872
1481344711846854360	750889631	1186439134	109	218	0	4759038	148541499
1481344712347441623	750879357	1186214298	109	218	0	4798203	149323377
1481344712848030844	750882331	1186572407	108	216	0	4792297	149388846
1481344713348619148	750882374	1191206371	111	222	0	4758852	148328254
1481344713849203911	750875143	1192011120	111	222	0	4791930	147698238
1481344714349790965	750877856	1191158864	109	218	0	4758942	148440284
1481344714850563395	610881087	975142468	153	287	1	3602791	108544454
1481344715351180657	645564409	767117216	2506	3340	4	4471136	166510745
1481344715851781003	750900200	913018489	1706	1816	0	5579059	198469850
1481344716352379974	750899372	914189019	1705	1814	0	5580118	198783538
1481344716852967987	750878756	913715175	1706	1816	0	5576325	198682288
1481344717353569750	750900540	914301453	1705	1814	0	5581400	198835676
1481344717854165304	750892756	914243073	1706	1816	0	5590503	198778340
1481344718354760900	750891212	913003467	1696	1806	0	5649409	198717198
1481344718855407079	750965348	913800623	1700	1811	0	5652054	198889576
1481344719356024467	750926392	914340387	1698	1806	0	5648041	198989073
1481344719856623688	750897984	913210756	1697	1807	0	5647752	198769920
1481344720357220200	750892656	914592466	1700	1809	0	5631662	199057427
1481344720857813296	750886580	913984574	1699	1809	0	5642652	198943836
1481344721358406434	750890372	913009116	1696	1805	0	5664895	198745126
1481344721858998488	750885584	912792998	1697	1807	0	5651318	198676416
1481344722359590334	750889120	912687145	1696	1806	0	5653436	198668390
1481344722860238555	750966732	913002505	1699	1810	0	5654181	198733179
1481344723360834735	750894868	913305903	1696	1805	0	5652621	198790033
1481344723861420914	750878416	913481239	1698	1807	0	5642454	198819671
1481344724362069510	750972156	913650071	1697	1806	0	5648578	198875181
1481344724862656564	750877844	912330234	1696	1806	0	5665448	198591305
1481344725363235327	750868060	913222932	1697	1806	0	5655697	198776578
1481344725863817381	750869916	913165149	1697	1807	0	5653565	198766848
1481344726364399769	750875124	913242306	1698	1808	0	5651664	198788546
1481344726865038781	750952892	912928052	1698	1809	0	5658731	198730834
