#Timestamp	Benchmark	Run(#)	GPU Frequency (MHz)	GPU Temperature(C)	GPU Voltage(V)	GPU Power(W)	inst_executed_cs	sm_inst_executed_texture	sm_inst_executed_global_loads	m_inst_executed_global_stores	threads_launched	gpu_busy	sm_executed_ipc	sm_issued_ipc	l2_write_bytes	l2_read_bytes	sm_active_cycles	sm_active_warps	sm_warps_launched
2552	stream_cluster	1	76	33.0	0.820000	0.3470923076923077	0.000000	0.016411	0.000000	0.000000	0.667888	0.330818	0.000003	0.000003	23.010277	5.774987	0.206409	13.408421	0.021384
3064	stream_cluster	1	76	33.0	0.820000	0.503553846153846	212.275209	4.835072	18.138262	0.243874	5.156279	20.406779	0.000000	0.000000	149.645367	809.692123	46.765679	2332.219862	0.111778
3576	stream_cluster	1	76	32.76923076923077	0.820000	0.6328307692307693	318.609166	13.738260	35.790076	0.356804	7.157017	61.437788	0.000010	0.000017	195.465431	2422.749169	108.122149	6508.011590	0.259415
4088	stream_cluster	1	76	32.69230769230769	0.820000	0.6067846153846154	343.099097	22.494877	32.390586	0.345364	7.041550	70.080049	0.000008	0.000010	149.041569	2962.728928	124.352734	5419.220034	0.220031
4600	stream_cluster	1	76	32.84615384615385	0.820000	0.6576923076923078	468.422839	31.709346	37.588873	0.391936	8.736553	54.985720	0.000008	0.000008	164.923874	3043.853824	137.245922	6675.372889	0.236233
5112	stream_cluster	1	76	32.53846153846154	0.820000	0.6968769230769232	492.103671	38.946434	48.452006	0.451941	9.402081	67.512686	0.000008	0.000005	179.658701	3722.350281	153.165158	7701.195966	0.283812
5624	stream_cluster	1	76	32.61538461538461	0.820000	0.7051384615384614	449.267285	43.666527	53.927300	0.454938	9.776248	67.958389	0.000008	0.000008	192.849234	4012.473478	129.797755	7971.456721	0.337760
6144	stream_cluster	1	76	32.76923076923077	0.820000	0.6967230769230769	443.083367	46.960083	54.087994	0.491221	11.570487	66.024161	0.000008	0.000008	189.944490	4106.186983	129.415367	11507.340909	0.355129
6656	stream_cluster	1	76	32.53846153846154	0.820000	0.6707846153846154	379.503511	49.102203	53.117068	0.537723	11.550779	67.933348	0.000008	0.000008	188.336168	4473.938277	126.650378	7927.858212	0.353072
7168	stream_cluster	1	76	32.46153846153846	0.820000	0.7086461538461537	449.160968	48.846098	45.575706	0.491559	9.715118	68.214242	0.000008	0.000008	202.703556	4658.867731	126.465566	7892.797425	0.351850
7680	stream_cluster	1	76	32.30769230769231	0.820000	0.6944307692307692	448.087568	46.936263	44.723130	0.458411	8.746407	67.208848	0.000008	0.000008	220.330276	4279.884061	132.323943	7744.144307	0.281759
8192	stream_cluster	1	76	32.38461538461539	0.820000	0.6660461538461537	449.672195	46.243682	44.391866	0.472672	9.851044	67.097650	0.000008	0.000008	221.420724	4000.346019	128.704434	9000.938742	0.304291
8712	stream_cluster	1	76	32.23076923076923	0.820000	0.7015846153846154	423.421530	46.293159	45.317800	0.438510	9.864485	66.736815	0.000008	0.000008	200.561127	3993.605485	130.612850	8959.401883	0.295293
9224	stream_cluster	1	76	32.15384615384615	0.820000	0.6542923076923077	449.780665	45.591980	44.856343	0.456792	9.843038	66.603358	0.000008	0.000008	188.144035	3950.897103	123.117732	10557.873274	0.308774
9736	stream_cluster	1	76	32.30769230769231	0.820000	0.7040461538461537	444.887508	45.321943	45.345767	0.434187	9.843240	67.610875	0.000008	0.000008	192.537582	3856.728135	127.924978	7758.110724	0.303468
10248	stream_cluster	1	76	32.0	0.820000	0.6803076923076924	450.760650	45.402361	44.285224	0.447241	9.824238	64.218606	0.000008	0.000008	193.018343	3949.582546	130.353261	7781.466136	0.297091
10760	stream_cluster	1	76	32.23076923076923	0.820000	0.6932923076923075	451.064349	45.169101	43.786568	0.442992	8.662330	78.532260	0.000005	0.000008	188.592023	4076.615617	130.055127	8208.015874	0.287654
11272	stream_cluster	1	76	32.23076923076923	0.820000	0.7383538461538461	454.332309	45.605334	45.444593	0.445592	9.588292	79.830287	0.000008	0.000008	188.041356	4059.259887	155.051812	16224.692986	0.300198
11784	stream_cluster	1	76	32.0	0.820000	0.6707846153846153	512.788857	45.737808	45.931332	0.453435	9.212500	70.176066	0.000008	0.000008	191.982442	4052.893691	154.631083	16197.570815	0.275540
12288	stream_cluster	1	76	32.07692307692308	0.820000	0.6802	537.949749	46.017811	47.665098	0.449588	8.777707	65.866067	0.000008	0.000008	191.254185	4041.110386	148.271604	16330.163101	0.300085
12808	stream_cluster	1	76	32.30769230769231	0.820000	0.7133846153846155	453.489644	48.506564	54.944463	0.463964	9.206054	66.475601	0.000008	0.000008	185.554302	4041.596966	130.777233	10095.309830	0.308065
13320	stream_cluster	1	76	32.38461538461539	0.820000	0.6872307692307692	437.731351	50.657180	52.714918	0.457601	10.764099	67.982251	0.000008	0.000008	184.510084	4067.923396	131.622836	10339.215884	0.341544
13832	stream_cluster	1	76	32.53846153846154	0.820000	0.6540923076923076	359.268934	51.025623	43.732299	0.527554	10.943359	67.835466	0.000008	0.000010	188.331769	4414.146153	130.533676	8985.173795	0.340647
14352	stream_cluster	1	76	32.46153846153846	0.820000	0.6623846153846155	377.353277	50.962240	45.244766	0.508266	10.932922	68.279461	0.000008	0.000008	200.729220	4641.302157	129.982371	9554.505599	0.341627
14864	stream_cluster	1	76	32.30769230769231	0.820000	0.7193076923076924	408.547409	48.827600	46.154614	0.459810	10.935009	67.531140	0.000008	0.000005	218.783299	4266.562232	130.926994	9330.363714	0.341086
15376	stream_cluster	1	76	32.23076923076923	0.820000	0.7075076923076923	396.053587	46.521962	45.466222	0.450023	10.936139	67.403285	0.000008	0.000008	220.785184	4059.943700	124.727504	10448.067354	0.320936
15888	stream_cluster	1	76	32.07692307692308	0.820000	0.7407538461538461	382.393594	46.212413	45.877690	0.445837	10.932149	65.155664	0.000008	0.000008	200.983939	4081.370902	128.566898	11491.835902	0.284217
16400	stream_cluster	1	76	32.0	0.820000	0.6850153846153846	384.930333	46.232581	46.038607	0.451470	10.900877	67.299003	0.000008	0.000008	188.270774	4095.688415	130.353089	11469.665717	0.285273
16912	stream_cluster	1	76	31.923076923076923	0.820000	0.6957384615384614	428.097181	45.909422	44.712320	0.462957	10.187332	67.510641	0.000008	0.000008	189.954251	4061.196735	130.929938	10198.199183	0.273961
