#Train Benchmarks	Test Benchmarks
telecom_CRC32	consumer_jpeg_d
consumer_tiffdither	security_blowfish_e
telecom_gsm	security_pgp_d
bzip2d	office_ghostscript
consumer_tiffmedian	network_dijkstra
consumer_jpeg_c	security_blowfish_d
office_stringsearch1	automotive_susan_e
office_ispell	automotive_qsort1
automotive_susan_s	automotive_bitcount
security_pgp_e	security_rijndael_e
telecom_adpcm_d	telecom_adpcm_c
automotive_susan_c	bzip2e
security_sha	network_patricia
security_rijndael_d	office_rsynth
consumer_tiff2rgba	consumer_tiff2bw
